Artist_Name,Artist_ID
Gorillaz,0
Red Hot Chili Peppers,1
50 Cent,2
Metallica,3
Coldplay,4
Daft Punk,5
Linkin Park,6
Radiohead,7
AC/DC,8
Black Eyed Peas,9
Michael Jackson,10
P!nk,11
Eminem,12
Pharrell Williams,13
Khalid,14
Shakira,15
Machine Gun Kelly,16
Nicky Jam,17
The Beatles,18
Pitbull,19
Sean Paul,20
Elvis Presley,21
2Pac,22
Snoop Dogg,23
Lil Wayne,24
Sia,25
Fleetwood Mac,26
ABBA,27
Frank Sinatra,28
TiÃ«sto,29
Elton John,30
JAY-Z,31
21 Savage,32
Kanye West,33
Luis Miguel,34
BeyoncÃ©,35
Daddy Yankee,36
Don Toliver,37
Camilo,38
Britney Spears,39
Farruko,40
Wisin & Yandel,41
Disney,42
Chris Brown,43
Tory Lanez,44
Mariah Carey,45
A.R. Rahman,46
Die drei ???,47
Pritam,48
Shreya Ghoshal,49
Pink Floyd,50
System Of A Down,51
Green Day,52
Ludovico Einaudi,53
Muse,54
Aerosmith,55
Slipknot,56
Oasis,57
The Rolling Stones,58
Hans Zimmer,59
Deftones,60
blink-182,61
Bob Marley & The Wailers,62
David Bowie,63
Bon Jovi,64
Dr. Dre,65
Creedence Clearwater Revival,66
U2,67
Nate Dogg,68
Juanes,69
ManÃ¡,70
Bee Gees,71
Billy Joel,72
The Notorious B.I.G.,73
Enrique Iglesias,74
Timbaland,75
Alejandro Sanz,76
Whitney Houston,77
Madonna,78
Alicia Keys,79
John Mayer,80
Christina Aguilera,81
Marc Anthony,82
Ricardo Arjona,83
Stevie Wonder,84
Ludacris,85
Plan B,86
Aventura,87
Usher,88
Vicente FernÃ¡ndez,89
Alejandro FernÃ¡ndez,90
T-Pain,91
Johann Sebastian Bach,92
JhenÃ© Aiko,93
Alka Yagnik,94
Udit Narayan,95
Vishal-Shekhar,96
Bibi und Tina,97
Yuvan Shankar Raja,98
Bibi Blocksberg,99
Pearl Jam,100
The Offspring,101
Johnny Cash,102
Eagles,103
Korn,104
MGMT,105
MF DOOM,106
The Cure,107
Jack Johnson,108
Outkast,109
Ice Cube,110
Phil Collins,111
John Williams,112
Soda Stereo,113
Nas,114
Luis Fonsi,115
Backstreet Boys,116
Los Ãngeles Azules,117
Zedd,118
Nat King Cole,119
Armin van Buuren,120
Juicy J,121
Julieta Venegas,122
Bruce Springsteen,123
Wham!,124
JosÃ© JosÃ©,125
Los Tigres Del Norte,126
Bryan Adams,127
Dean Martin,128
Nelly Furtado,129
Ricky Martin,130
Jennifer Lopez,131
Sido,132
Wolfgang Amadeus Mozart,133
Juan Gabriel,134
Nelly,135
FrÃ©dÃ©ric Chopin,136
Marco Antonio SolÃ­s,137
CÃ©line Dion,138
Alesso,139
Joan Sebastian,140
Bing Crosby,141
S. P. Balasubrahmanyam,142
Sonu Nigam,143
Lata Mangeshkar,144
La Arrolladora Banda El LimÃ³n De Rene Camacho,145
KK,146
AnahÃ­,147
Shankar Mahadevan,148
Kumar Sanu,149
Iron Maiden,150
